CONDITION,FP,FAD Intensity,FA1,FAD a1,FA2,FAD a2,FT1,FAD t1,FT2,FAD t2,FTM,FAD tm,NP,NADPH Intensity,NA1,NADPH a1,NA2,NADPH a2,NT1,NADPH t1,NT2,NADPH t2,NTM,NADPH tm,RR,Redox Ratio
100k-0.62-D0,331.1515479,-0.69549901,78.04233273,0.245550092,21.95766727,-0.24555006,229.2097468,0.728024491,2091.501217,-0.568219773,635.2905949,-0.19941148,473.7334702,-0.420263604,69.59401808,0.778212087,30.40598011,-0.7782127,465.9003219,0.887307002,2567.673756,0.334302409,1099.648063,-0.096676703,1.474571429,0.464741899
100k-0.62-D1,481.0531031,0.642737996,74.61414777,-0.517993118,25.38585052,0.517992776,243.7145962,1.199543423,2166.462175,-0.029695639,730.0803763,0.500087803,614.7211684,1.655847739,67.28749313,0.006546849,32.71250859,-0.006546292,433.5745103,0.289554362,2603.81266,0.862408828,1142.894723,0.333384014,1.292206186,-0.261408406
1.5M-9UM-0.51-D0,498.7066444,0.80033891,74.81762204,-0.472674267,25.18237796,0.472674307,214.4919911,0.249584468,2180.823685,0.073478327,708.9321651,0.344025004,417.1110553,-1.254055766,64.50930834,-0.922915725,35.49069121,0.922915545,488.6936957,1.3087906,2590.517423,0.668122357,1222.124783,1.12127691,0.954456939,-1.606273877
1.5M-9UM-0.51-D1,479.7739599,0.631318523,71.32867984,-1.249749646,28.67131903,1.249749443,249.4155884,1.384869424,2230.854281,0.432901209,815.4670288,1.130196885,515.9422383,0.20128071,70.00180294,0.914639571,29.99819593,-0.914639955,419.4554907,0.028472557,2582.166462,0.546087777,1069.334899,-0.398121974,1.149768492,-0.828573358
1.5M-12UM-0.27-D0,399.4510033,-0.085759782,73.15500814,-0.842980296,26.84499146,0.84298025,214.3053385,0.243516826,2283.230578,0.809175744,768.3666037,0.782620247,464.7242413,-0.552928813,62.29350285,-1.664230087,37.70649797,1.664230319,502.8057754,1.569744077,2613.33141,1.001508589,1286.511751,1.761564638,1.218363303,-0.555439387
1.5M-12UM-0.27-D1,513.1745671,0.92950041,69.79100158,-1.592229357,30.20899842,1.59222941,243.3636714,1.188135673,2272.542722,0.732393531,854.4049258,1.417538312,594.6980332,1.360997489,67.64815008,0.127207339,32.3518515,-0.127206828,442.7617362,0.45943992,2641.769833,1.417086042,1161.515769,0.518558554,1.17028594,-0.746876043
600k-8um-1219D0LOW,269.8419066,-1.2428371,82.99933546,1.349599558,17.00066452,-1.349599543,180.3055575,-0.86173701,2122.195954,-0.347706895,508.4231605,-1.135627158,409.7187015,-1.362911715,66.17985551,-0.36402163,33.82014449,0.364021607,361.975791,-1.034413124,2433.814605,-1.621813276,1057.919483,-0.511641075,1.628205234,1.076488045
600k-8um-1220D1LOW,375.5904614,-0.298773316,83.42569987,1.44456166,16.57430013,-1.444561641,162.9701554,-1.42527063,2056.112354,-0.82245554,476.6528759,-1.370075333,589.7997064,1.288867282,70.11237904,0.951633636,29.88762096,-0.951633642,363.9909437,-0.997149934,2568.995689,0.353620133,1023.662733,-0.852302814,1.623254868,1.05677645
600k-10um-1219D0LOW,288.2095924,-1.078860703,84.89274856,1.771310385,15.10725141,-1.771310376,155.5237252,-1.667336763,2091.233393,-0.570143836,446.5243616,-1.592408098,435.6365875,-0.981258437,66.52238021,-0.249427421,33.47761978,0.249427395,309.5667682,-2.0035344,2386.856734,-2.308019834,1002.110148,-1.066629662,1.599493452,0.962162153
600k-10um-1220D1LOW,455.8906727,0.41810193,83.04324169,1.359378582,16.95675831,-1.359378563,192.399814,-0.468580848,2016.519616,-1.106892205,501.4072859,-1.187400663,637.8584017,1.996554575,69.51166725,0.750660998,30.48833275,-0.750661006,361.2310659,-1.048184206,2578.323052,0.489923112,1040.261065,-0.687242887,1.419100001,0.243863219
500k-19.6-D0,387.3211939,-0.194047916,77.81082683,0.193987892,22.18917317,-0.19398786,219.4746268,0.411558372,2065.490601,-0.755081636,626.6691817,-0.263033026,509.6324354,0.108365842,66.15930122,-0.370898223,33.84069878,0.3708982,464.0680817,0.853426139,2581.557157,0.537183864,1174.729604,0.649961789,1.343313415,-0.057907293
500k-19.6-D1,498.2341896,0.796121099,75.74234913,-0.266714234,24.25764894,0.266713841,240.7313453,1.10256487,2088.972767,-0.586384313,687.6039072,0.186633554,525.2085745,0.337731946,70.29795261,1.013718668,29.70204836,-1.013718349,409.5621364,-0.154470373,2540.021191,-0.069791121,1041.508818,-0.67483477,1.061411025,-1.180399182
1.5M-21.7-D0,346.8052957,-0.55575113,77.85368768,0.203534084,22.14631315,-0.203533867,217.3417287,0.342222814,2152.394617,-0.130757844,643.7179382,-0.13722207,482.7573604,-0.287382501,62.74734674,-1.512393204,37.25265284,1.512393028,482.9282298,1.202178506,2610.94494,0.966634537,1266.850293,1.566043856,1.448989631,0.362879121
1.5M-21.7-D1,486.1919422,0.688614668,74.49117453,-0.545382358,25.50882648,0.545382624,242.4109249,1.1571641,2189.336316,0.134633595,737.9540254,0.558191237,531.5664323,0.431354446,70.2488554,0.997292828,29.7511446,-0.997292833,422.9440568,0.092981366,2567.967796,0.338599281,1058.417961,-0.506684027,1.163856925,-0.772475388
2M-15.1-D0,436.0714707,0.241167212,78.52145713,0.352263174,21.47854244,-0.352263238,208.3831643,0.05100071,2112.037287,-0.42068738,615.8307084,-0.343015321,462.9746677,-0.578692121,63.16623684,-1.372250378,36.83376273,1.3722502,478.141163,1.113658476,2587.445213,0.623227433,1245.370459,1.352440471,1.25954966,-0.391441659
2M-15.1-D1,533.4128247,1.110176222,75.58399643,-0.301983371,24.41600238,0.301983145,241.0127802,1.111713664,2090.052703,-0.578625987,691.2786696,0.21375139,521.8207926,0.287845237,70.34322698,1.028865546,29.65677302,-1.028865551,408.1581575,-0.180432044,2564.685059,0.290627866,1047.394694,-0.616303453,1.012869875,-1.373682563
IMR90-26.4-D0,399.1597018,-0.088360358,72.31952819,-1.029062741,27.6804723,1.029062898,224.7864426,0.584233155,2278.596839,0.775886682,791.7616177,0.955263282,457.3248867,-0.66188785,61.41703511,-1.957458946,38.58296489,1.957458903,505.6679777,1.622670482,2615.900991,1.039058488,1307.654907,1.97181996,1.206622156,-0.602190827
IMR90-26.4-D1,437.8211809,0.256787642,68.03019832,-1.984404629,31.96980237,1.984404842,250.5157493,1.420633098,2372.399493,1.449770717,926.355581,1.948496723,541.6055105,0.579184678,68.50886383,0.415165585,31.49113582,-0.415165714,424.4385199,0.120616225,2637.187201,1.350118952,1121.60532,0.121674347,1.293377793,-0.256743245
9UM-38.5-D0,252.3279238,-1.399192115,83.12209229,1.376940599,16.87790771,-1.37694058,159.1438891,-1.549653653,1999.055723,-1.232353888,467.8649924,-1.434925343,430.57934,-1.055728828,65.61381414,-0.55339502,34.38618628,0.553395136,394.3135572,-0.436439426,2474.972958,-1.020356456,1104.313268,-0.050284193,1.754861981,1.580815702
9UM-38.5-D1,422.1244253,0.116655813,79.4068764,0.549468364,20.59312306,-0.549468457,165.0319769,-1.358245608,2225.917205,0.397432949,593.8340509,-0.505339212,499.7243234,-0.037535849,69.83265641,0.858050331,30.16734441,-0.858050065,399.2030594,-0.346025212,2559.34286,0.212561034,1046.085565,-0.629321915,1.310702423,-0.187759238
10UM-53.2-D0,270.0204008,-1.241243603,82.25610203,1.184062736,17.74389797,-1.184062715,167.7031567,-1.271411762,1954.131488,-1.555092353,482.3265518,-1.328206557,441.4783714,-0.895235373,66.03483187,-0.412540378,33.96516775,0.412540227,393.2838231,-0.45548075,2455.225549,-1.308930045,1088.046834,-0.212043598,1.69338441,1.336021482
10UM-53.2-D1,368.4334172,-0.362667392,76.21775144,-0.160830155,23.78224773,0.160830008,210.2347531,0.111191558,2313.016519,1.023159779,710.5893439,0.356254121,543.6972433,0.609986445,69.84272343,0.861418327,30.15727712,-0.86141815,362.2255141,-1.029795369,2514.948894,-0.436178564,1008.573569,-1.002355015,1.537953584,0.717119878
500K-9UM-64.8-D0,351.2198772,-0.516340223,79.57156537,0.586148749,20.42843463,-0.586148721,159.628232,-1.533908789,2210.641548,0.287691694,578.6499471,-0.61739,392.8743132,-1.610953395,63.46193577,-1.273322083,36.53806452,1.273322143,498.0538164,1.481873241,2588.816595,0.643267759,1247.743545,1.376039314,1.193350311,-0.655037269
500K-9UM-64.8-D1,730.8211433,2.872526965,69.41560234,-1.675840232,30.58439766,1.675840285,222.1700395,0.499179973,2581.947143,2.955173918,952.049792,2.138106636,564.588792,0.917624499,71.56158189,1.436475329,28.43841788,-1.436475404,361.8385725,-1.0369505,2434.914827,-1.605735463,948.4901914,-1.599846256,0.863354752,-1.969028752
500K-10UM-51.8-D0,331.5913906,-0.691572341,82.42073053,1.220729655,17.57926997,-1.220729521,168.04283,-1.260369771,1908.265094,-1.884599348,472.2225379,-1.402768923,435.5106997,-0.983112195,65.19729847,-0.692743463,34.80270153,0.692743435,472.1501466,1.002875615,2562.646075,0.260831707,1189.901019,0.800831927,1.448439186,0.360687333
500K-10UM-51.8-D1,653.7829656,2.184773325,74.03710641,-0.646514774,25.96289359,0.646514816,205.0698746,-0.056706633,2420.251929,1.793545559,785.8875039,0.911915377,572.0931547,1.028129833,71.42812599,1.391826654,28.5718737,-1.39182676,353.4552532,-1.19197062,2444.82236,-1.460954323,948.5968472,-1.598785632,1.014558257,-1.366959687
600K-6UM 1227D0HGH,284.113268,-1.11543039,76.40177186,-0.11984417,23.59822815,0.119844209,218.259685,0.372063438,2160.772066,-0.070573736,673.0335358,0.079111792,435.0239828,-0.990279334,64.99790327,-0.759452623,35.00209671,0.759452591,400.2969175,-0.325798137,2500.613509,-0.645664967,1129.798118,0.203146547,1.621779131,1.050900293
600K-6UM 1228D1HIGH,359.125502,-0.445763238,74.21458736,-0.606985293,25.78541264,0.606985334,219.9632429,0.427442145,2182.096009,0.082618784,723.1745617,0.449126483,579.5649343,1.138155364,68.50778965,0.414806211,31.49221034,-0.414806227,423.4496513,0.102330565,2582.818351,0.555613988,1102.217953,-0.071120773,1.665374541,1.224490499
800k-6um-1227D0HIGH,285.5666729,-1.102455206,77.50092239,0.124964361,22.49907761,-0.124964328,202.0406082,-0.155181041,2151.978889,-0.133744456,637.9124707,-0.180063401,421.9874347,-1.182248746,64.48196882,-0.932062367,35.51803118,0.932062338,409.3825474,-0.157791241,2506.961226,-0.552904257,1147.602398,0.380198867,1.58397156,0.900356367
800k-6um-1228D1HIGH,344.7312673,-0.574266892,77.16743697,0.050688752,22.83256303,-0.050688718,176.7832298,-0.976239695,2149.041386,-0.15484766,625.1244611,-0.27443226,564.2440794,0.912548442,70.52772752,1.090591588,29.47227249,-1.090591589,323.9544947,-1.737483801,2444.85784,-1.46043585,950.2097385,-1.582746446,1.728260759,1.474893732
