CONDITION,FP,FAD Intensity,FA1,FAD a1,FA2,FAD a2,FT1,FAD t1,FT2,FAD t2,FTM,FAD tm,NP,NADPH Intensity,NA1,NADPH a1,NA2,NADPH a2,NT1,NADPH t1,NT2,NADPH t2,NTM,NADPH tm,RR,Redox Ratio
0.03-D0,498.7066444,0.544135674,74.81762204,-0.244068977,25.18237796,0.244069028,214.4919911,0.03353489,2180.823685,-0.061388271,708.9321651,0.108858111,417.1110553,-1.394240546,64.50930834,-0.81659513,35.49069121,0.816594957,488.6936957,1.113806018,2590.517423,0.490762037,1222.124783,0.891279043,0.954456939,-1.371667106
0.03-D1,479.7739599,0.37784061,71.32867984,-1.074394736,28.67131903,1.074394523,249.4155884,1.171518698,2230.854281,0.260671496,815.4670288,0.907738336,515.9422383,0.27330877,70.00180294,0.884922372,29.99819593,-0.884922732,419.4554907,-0.339208417,2582.166462,0.352200975,1069.334899,-0.563454483,1.149768492,-0.513529922
0.27-D0,399.4510033,-0.327675358,73.15500814,-0.639750841,26.84499146,0.639750797,214.3053385,0.027452824,2283.230578,0.597831134,768.3666037,0.554543177,464.7242413,-0.590877344,62.29350285,-1.503028548,37.70649797,1.503028755,502.8057754,1.409958347,2613.33141,0.869296965,1286.511751,1.504316234,1.218363303,-0.21214602
0.27-D1,513.1745671,0.671214544,69.79100158,-1.440343438,30.20899842,1.440343495,243.3636714,0.974317263,2272.542722,0.529030668,854.4049258,1.199724591,594.6980332,1.602132001,67.64815008,0.155785281,32.3518515,-0.155784812,442.7617362,0.149890212,2641.769833,1.341153825,1161.515769,0.314212277,1.17028594,-0.423382747
0.62-D0,331.1515479,-0.92758301,78.04233273,0.5233729,21.95766727,-0.523372852,229.2097468,0.513112283,2091.501217,-0.636379875,635.2905949,-0.443362937,473.7334702,-0.438867289,69.59401808,0.75859488,30.40598011,-0.758595453,465.9003219,0.635470378,2567.673756,0.111734659,1099.648063,-0.274838671,1.474571429,0.913551436
0.62-D1,481.0531031,0.389075953,74.61414777,-0.292493377,25.38585052,0.292493019,243.7145962,0.985752132,2166.462175,-0.153836984,730.0803763,0.26744364,614.7211684,1.939976439,67.28749313,0.044057521,32.71250859,-0.044057011,433.5745103,-0.042910451,2603.81266,0.711359675,1142.894723,0.136918734,1.292206186,0.112296245
15.1-D0,436.0714707,-0.006019811,78.52145713,0.637398673,21.47854244,-0.637398727,208.3831643,-0.16552095,2112.037287,-0.50418393,615.8307084,-0.589288112,462.9746677,-0.620397382,63.16623684,-1.232664665,36.83376273,1.232664492,478.141163,0.892353392,2587.445213,0.439787237,1245.370459,1.112604322,1.25954966,-0.031186196
15.1-D1,533.4128247,0.848977098,75.58399643,-0.061681204,24.41600238,0.061680971,241.0127802,0.89771358,2090.052703,-0.645704331,691.2786696,-0.023521355,521.8207926,0.372495879,70.34322698,0.990691976,29.65677302,-0.990691985,408.1581575,-0.576291228,2564.685059,0.06214551,1047.394694,-0.772350196,1.012869875,-1.115019141
19.6-D0,387.3211939,-0.434217429,77.81082683,0.468277314,22.18917317,-0.468277267,219.4746268,0.195893847,2065.490601,-0.803816872,626.6691817,-0.508012915,509.6324354,0.166845332,66.15930122,-0.305444558,33.84069878,0.30544453,464.0680817,0.597019476,2581.557157,0.342091253,1174.729604,0.440023013,1.343313415,0.336845243
19.6-D1,498.2341896,0.539985872,75.74234913,-0.02399519,24.25764894,0.02399478,240.7313453,0.888543037,2088.972767,-0.652656156,687.6039072,-0.051077547,525.2085745,0.429656919,70.29795261,0.976666451,29.70204836,-0.97666616,409.5621364,-0.546827702,2540.021191,-0.347083072,1041.508818,-0.82839043,1.061411025,-0.901744683
21.7-D0,346.8052957,-0.790088457,77.85368768,0.478477675,22.14631315,-0.47847743,217.3417287,0.126393461,2152.394617,-0.244393462,643.7179382,-0.380168246,482.7573604,-0.286609858,62.74734674,-1.362432446,37.25265284,1.362432274,482.9282298,0.992813495,2610.94494,0.829700108,1266.850293,1.317116783,1.448989631,0.801153109
21.7-D1,486.1919422,0.4342129,74.49117453,-0.32175951,25.50882648,0.321759803,242.4109249,0.943272062,2189.336316,-0.006590281,737.9540254,0.326486308,531.5664323,0.536931174,70.2488554,0.961456648,29.7511446,-0.961456657,422.9440568,-0.265998302,2567.967796,0.116613433,1058.417961,-0.667396153,1.163856925,-0.451629803
