CONDITION,FP,FAD Intensity,FA1,FAD a1,FA2,FAD a2,FT1,FAD t1,FT2,FAD t2,FTM,FAD tm,NP,NADPH Intensity,NA1,NADPH a1,NA2,NADPH a2,NT1,NADPH t1,NT2,NADPH t2,NTM,NADPH tm,RR,Redox Ratio,PERCENTAGE,VARIANCE
100k-0.62-D1,481.0531031,0.642737996,74.61414777,-0.517993118,25.38585052,0.517992776,243.7145962,1.199543423,2166.462175,-0.029695639,730.0803763,0.500087803,614.7211684,1.655847739,67.28749313,0.006546849,32.71250859,-0.006546292,433.5745103,0.289554362,2603.81266,0.862408828,1142.894723,0.333384014,1.292206186,-0.261408406,0.62,0.3
1.5M-9UM-0.51-D1,479.7739599,0.631318523,71.32867984,-1.249749646,28.67131903,1.249749443,249.4155884,1.384869424,2230.854281,0.432901209,815.4670288,1.130196885,515.9422383,0.20128071,70.00180294,0.914639571,29.99819593,-0.914639955,419.4554907,0.028472557,2582.166462,0.546087777,1069.334899,-0.398121974,1.149768492,-0.828573358,0.51,0.2
1.5M-12UM-0.27-D1,513.1745671,0.92950041,69.79100158,-1.592229357,30.20899842,1.59222941,243.3636714,1.188135673,2272.542722,0.732393531,854.4049258,1.417538312,594.6980332,1.360997489,67.64815008,0.127207339,32.3518515,-0.127206828,442.7617362,0.45943992,2641.769833,1.417086042,1161.515769,0.518558554,1.17028594,-0.746876043,0.27,0.1
600k-8um-1220D1LOW,375.5904614,-0.298773316,83.42569987,1.44456166,16.57430013,-1.444561641,162.9701554,-1.42527063,2056.112354,-0.82245554,476.6528759,-1.370075333,589.7997064,1.288867282,70.11237904,0.951633636,29.88762096,-0.951633642,363.9909437,-0.997149934,2568.995689,0.353620133,1023.662733,-0.852302814,1.623254868,1.05677645,5.9,0.7
600k-10um-1220D1LOW,455.8906727,0.41810193,83.04324169,1.359378582,16.95675831,-1.359378563,192.399814,-0.468580848,2016.519616,-1.106892205,501.4072859,-1.187400663,637.8584017,1.996554575,69.51166725,0.750660998,30.48833275,-0.750661006,361.2310659,-1.048184206,2578.323052,0.489923112,1040.261065,-0.687242887,1.419100001,0.243863219,10.8,1.3
500k-19.6-D1,498.2341896,0.796121099,75.74234913,-0.266714234,24.25764894,0.266713841,240.7313453,1.10256487,2088.972767,-0.586384313,687.6039072,0.186633554,525.2085745,0.337731946,70.29795261,1.013718668,29.70204836,-1.013718349,409.5621364,-0.154470373,2540.021191,-0.069791121,1041.508818,-0.67483477,1.061411025,-1.180399182,19.6,1.5
1.5M-21.7-D1,486.1919422,0.688614668,74.49117453,-0.545382358,25.50882648,0.545382624,242.4109249,1.1571641,2189.336316,0.134633595,737.9540254,0.558191237,531.5664323,0.431354446,70.2488554,0.997292828,29.7511446,-0.997292833,422.9440568,0.092981366,2567.967796,0.338599281,1058.417961,-0.506684027,1.163856925,-0.772475388,21.7,2.3
2M-15.1-D1,533.4128247,1.110176222,75.58399643,-0.301983371,24.41600238,0.301983145,241.0127802,1.111713664,2090.052703,-0.578625987,691.2786696,0.21375139,521.8207926,0.287845237,70.34322698,1.028865546,29.65677302,-1.028865551,408.1581575,-0.180432044,2564.685059,0.290627866,1047.394694,-0.616303453,1.012869875,-1.373682563,15.1,1.3
IMR90-26.4-D1,437.8211809,0.256787642,68.03019832,-1.984404629,31.96980237,1.984404842,250.5157493,1.420633098,2372.399493,1.449770717,926.355581,1.948496723,541.6055105,0.579184678,68.50886383,0.415165585,31.49113582,-0.415165714,424.4385199,0.120616225,2637.187201,1.350118952,1121.60532,0.121674347,1.293377793,-0.256743245,26.4,1.2
9UM-38.5-D1,422.1244253,0.116655813,79.4068764,0.549468364,20.59312306,-0.549468457,165.0319769,-1.358245608,2225.917205,0.397432949,593.8340509,-0.505339212,499.7243234,-0.037535849,69.83265641,0.858050331,30.16734441,-0.858050065,399.2030594,-0.346025212,2559.34286,0.212561034,1046.085565,-0.629321915,1.310702423,-0.187759238,38.5,1.9
10UM-53.2-D1,368.4334172,-0.362667392,76.21775144,-0.160830155,23.78224773,0.160830008,210.2347531,0.111191558,2313.016519,1.023159779,710.5893439,0.356254121,543.6972433,0.609986445,69.84272343,0.861418327,30.15727712,-0.86141815,362.2255141,-1.029795369,2514.948894,-0.436178564,1008.573569,-1.002355015,1.537953584,0.717119878,53.2,0.8
500K-9UM-65.5-D1,730.8211433,2.872526965,69.41560234,-1.675840232,30.58439766,1.675840285,222.1700395,0.499179973,2581.947143,2.955173918,952.049792,2.138106636,564.588792,0.917624499,71.56158189,1.436475329,28.43841788,-1.436475404,361.8385725,-1.0369505,2434.914827,-1.605735463,948.4901914,-1.599846256,0.863354752,-1.969028752,64.8,2.1
500K-10UM-51.8-D1,653.7829656,2.184773325,74.03710641,-0.646514774,25.96289359,0.646514816,205.0698746,-0.056706633,2420.251929,1.793545559,785.8875039,0.911915377,572.0931547,1.028129833,71.42812599,1.391826654,28.5718737,-1.39182676,353.4552532,-1.19197062,2444.82236,-1.460954323,948.5968472,-1.598785632,1.014558257,-1.366959687,51.8,3.2
600K-6UM 1228D1HIGH,359.125502,-0.445763238,74.21458736,-0.606985293,25.78541264,0.606985334,219.9632429,0.427442145,2182.096009,0.082618784,723.1745617,0.449126483,579.5649343,1.138155364,68.50778965,0.414806211,31.49221034,-0.414806227,423.4496513,0.102330565,2582.818351,0.555613988,1102.217953,-0.071120773,1.665374541,1.224490499,61,3.2
800k-6um-1228D1HIGH,344.7312673,-0.574266892,77.16743697,0.050688752,22.83256303,-0.050688718,176.7832298,-0.976239695,2149.041386,-0.15484766,625.1244611,-0.27443226,564.2440794,0.912548442,70.52772752,1.090591588,29.47227249,-1.090591589,323.9544947,-1.737483801,2444.85784,-1.46043585,950.2097385,-1.582746446,1.728260759,1.474893732,63.1,2.4
