,cosine1,cosine2,euclidean1,euclidean2,l21,l22,l11,l12,canberra1,canberra2,chebyshev1,chebyshev2,correlation1,correlation2
0,4.166578,5.524612,-4.4598002,-5.4239616,-4.4598002,-5.4239616,-2.3349583,-6.0031686,-3.036484,-5.719934,4.445144,1.2737148,3.464432,-2.0922246
1,4.5820627,6.169065,-4.8623457,-5.846919,-4.8623457,-5.846919,-2.714979,-6.843965,-3.96953,-5.9749174,4.3012204,1.2140386,3.8164675,-2.3745515
2,4.585856,6.7398515,-4.7843003,-6.4520874,-4.7843003,-6.4520874,-2.5343034,-7.37386,-3.8709013,-6.565799,4.319894,0.93622327,4.144958,-2.39453
3,3.609027,1.9790136,-3.779963,-1.7390802,-3.779963,-1.7390802,-2.51003,-2.0702116,-6.1720543,3.1949253,4.5073175,3.5269573,1.9761992,-0.77808404
4,4.3870354,5.409171,-4.6292195,-4.9934087,-4.6292195,-4.9934087,-2.454153,-5.6403165,-3.1858182,-5.4833264,4.176622,1.921089,3.3373923,-2.3605578
5,4.668297,6.5276637,-4.9886837,-6.1453123,-4.9886837,-6.1453123,-2.602704,-7.161333,-4.044062,-6.2885385,4.4296575,1.1320361,4.041928,-2.4267142
6,4.717389,5.756567,-4.81494,-5.429598,-4.81494,-5.429598,-2.37241,-6.1065884,-3.412773,-5.959667,3.9688,1.7151853,3.5391786,-3.0335155
7,4.6011786,6.1947536,-4.9370337,-5.8544297,-4.9370337,-5.8544297,-2.506668,-6.760608,-3.811458,-6.1249127,4.261645,1.180062,3.650854,-2.5213566
8,4.380306,6.4735327,-4.699768,-6.2403092,-4.699768,-6.2403092,-2.278818,-7.1734805,-3.409311,-6.6669374,4.1174645,1.3446523,3.7910054,-2.4695182
9,4.7476573,6.1853714,-5.0544415,-5.877526,-5.0544415,-5.877526,-2.77622,-6.8834314,-3.9985285,-6.038821,4.336352,1.2971509,3.9804513,-2.497937
10,3.9328494,5.1947227,-4.220107,-5.192338,-4.220107,-5.192338,-1.9338847,-5.628371,-2.6875281,-5.589842,3.792071,1.7265043,2.8963542,-1.8947862
11,3.5611448,4.189381,-4.036414,-3.764801,-4.036414,-3.764801,-2.4636405,-4.440517,-1.6171736,-4.3557987,4.1801963,2.6664505,2.9830725,-1.7773947
12,3.2109094,4.7974944,-3.461769,-4.381296,-3.461769,-4.381296,-1.7664486,-5.2723937,-1.9824123,-5.669269,3.4927936,1.6585326,3.242431,3.296702
13,4.4798374,5.600835,-4.6903076,-5.180769,-4.6903076,-5.180769,-2.4502342,-6.1354747,-3.4382188,-5.7802334,4.1592417,1.7417965,3.2083433,-2.4540434
14,4.5539055,5.946274,-4.8676453,-5.603964,-4.8676453,-5.603964,-2.554706,-6.615502,-3.6942446,-5.8658338,4.1266956,1.6212758,3.5669477,-2.5349746
15,4.49193,6.0763855,-4.8749366,-5.6895437,-4.8749366,-5.6895437,-2.6485357,-6.650839,-3.7703063,-5.977498,4.0840454,1.5797508,3.5690947,-2.3376622
16,4.457956,5.423088,-4.7825103,-4.967538,-4.7825103,-4.967538,-2.5595515,-5.841109,-3.2897162,-5.414873,3.873112,2.1894329,3.1958275,-2.4954433
17,4.486168,6.2968807,-4.7912545,-6.073689,-4.7912545,-6.073689,-2.378676,-6.993114,-3.6320336,-6.371594,4.078566,1.3630322,3.8239565,-2.6615498
18,4.585956,5.696034,-4.921419,-5.392342,-4.921419,-5.392342,-2.7833064,-6.1677213,-3.8777268,-5.7387767,4.2339587,1.6345578,3.4323487,-2.4752927
19,4.3766785,5.024695,-4.661696,-4.8142223,-4.661696,-4.8142223,-2.440037,-5.6063485,-3.3087544,-5.319429,3.8613632,2.2106755,2.6013198,-2.3458452
20,3.3806367,3.851044,-3.7927544,-3.577574,-3.7927544,-3.577574,-1.9278,-4.050537,-2.150678,-4.888185,3.4525635,2.3162348,1.6996615,-1.0737635
21,3.6320698,4.577208,-3.7305357,-4.1582484,-3.7305357,-4.1582484,-1.892181,-5.0831776,-2.0326514,-5.3353596,3.5389884,2.2377,2.7330585,-1.7704899
22,4.1014786,4.844302,-4.4519544,-4.6151013,-4.4519544,-4.6151013,-2.3281398,-5.354446,-3.0091941,-5.3262515,4.0392747,2.4201503,2.5612288,-2.1252084
23,4.444391,5.6442,-4.833274,-5.2821774,-4.833274,-5.2821774,-2.4579666,-6.239033,-3.3763626,-5.824916,3.9589033,1.8839611,3.275695,-2.6107092
24,2.9807131,2.987518,-3.297801,-2.7563126,-3.297801,-2.7563126,-1.7553418,-2.9168208,-0.9751599,-4.4191236,3.1821678,3.0573661,1.2183793,-0.34629932
25,4.841018,5.543484,-5.1572723,-5.196429,-5.1572723,-5.196429,-2.9601717,-6.169996,-3.9271035,-5.501684,4.178104,2.043556,3.4573607,-2.9695296
26,4.2104816,5.2735777,-4.5312357,-5.2624774,-4.5312357,-5.2624774,-2.1941738,-5.732665,-2.738757,-5.3269234,3.7724261,1.6658179,2.9821548,-2.2547147
27,4.2777576,5.5685277,-4.6619167,-5.291474,-4.6619167,-5.291474,-2.357131,-6.173188,-3.2845001,-5.924003,3.7243822,1.853485,3.0932987,-2.60817
28,4.8266697,5.9258366,-5.237002,-5.3943744,-5.237002,-5.3943744,-3.003717,-6.6196966,-3.9706752,-5.572668,3.9750507,1.8056616,3.8845034,-2.758367
29,4.424247,5.3896837,-4.7196937,-5.103796,-4.7196937,-5.103796,-2.3526711,-5.9918036,-3.4066672,-5.683192,4.068662,2.0623338,2.98868,-2.4389915
30,4.503863,6.21648,-4.861796,-5.9736967,-4.861796,-5.9736967,-2.4827337,-6.9705825,-3.6702836,-6.275998,4.10017,1.4459983,3.7744205,-2.5893645
31,4.0432405,3.1977217,-4.306215,-2.9677253,-4.306215,-2.9677253,-2.7356827,-3.3630502,-2.2939236,-4.112346,4.0170846,3.6258936,1.6713156,-1.8059902
32,4.805288,5.9954267,-5.111045,-5.610745,-5.111045,-5.610745,-3.1013873,-6.6783376,-4.0349703,-5.7064705,3.9724753,1.6067921,4.0114985,-2.7323236
33,4.641503,5.4876137,-4.986188,-5.112329,-4.986188,-5.112329,-2.9006102,-6.024376,-3.6815128,-5.3261423,4.122973,2.031311,3.2047098,-2.5920806
34,4.2847986,4.9910035,-4.5993557,-4.7568974,-4.5993557,-4.7568974,-2.4408329,-5.4840546,-3.2808437,-5.4844437,3.8895223,2.200222,2.6229606,-2.245211
35,4.8548446,5.8754435,-5.1036625,-5.3395987,-5.1036625,-5.3395987,-2.6351025,-6.4550405,-3.6086688,-5.7974954,3.9515855,2.0165524,3.4969869,-2.861048
36,3.8426197,4.414187,-4.23515,-4.058515,-4.23515,-4.058515,-2.1993368,-4.8230853,-2.66338,-4.970748,3.7497585,2.8110065,1.9491117,-1.7059131
37,4.6479244,5.62409,-4.96933,-5.255511,-4.96933,-5.255511,-2.7780268,-6.247776,-3.6170056,-5.536635,4.0645156,1.9822551,3.199627,-2.7651422
38,4.6702695,5.279956,-4.951315,-5.0323358,-4.951315,-5.0323358,-2.6486342,-5.744012,-3.6174607,-5.066765,4.054144,2.1318328,2.9079435,-2.7730412
39,5.0538545,5.2095203,-5.192886,-4.892585,-5.192886,-4.892585,-3.4397986,-5.8174157,-4.0987263,-4.593277,4.0094986,2.2248828,3.5125313,-3.033501
40,4.13586,4.724716,-4.388461,-4.2441373,-4.388461,-4.2441373,-2.377564,-5.2385006,-2.7827537,-5.148615,3.925046,2.6415038,2.3879056,-2.143595
41,3.0662558,3.4167235,-3.3369253,-2.9310813,-3.3369253,-2.9310813,-1.8360639,-3.4793005,-1.5176429,-4.707408,3.0055277,2.6120014,1.5854504,-0.9600107
42,3.918106,3.7069793,-4.057783,-3.7281222,-4.057783,-3.7281222,-2.431413,-4.2398157,-2.69224,-4.580244,3.4343283,2.4370148,2.2294254,-1.5916078
43,3.6102653,1.6850348,-3.8421834,-1.5318407,-3.8421834,-1.5318407,-3.0676284,-2.0279503,-0.006849323,-3.1570408,2.638836,4.2084002,1.3373951,-0.39350104
44,3.9351401,3.932809,-4.228265,-3.6239026,-4.228265,-3.6239026,-2.4099252,-4.3546767,-2.3449147,-4.628153,3.6437771,2.9867141,1.7717317,-1.4723033
