ObjectNumber,FA1,FA2,FP,FT1,FT2,FTM,NA1,NA2,NP,NT1,NT2,NTM,RR,Class,GROUP,DAY,CONDITION,PERCENTAGE,EFFICIENCY,cosine1,cosine2,euclidean1,euclidean2,l21,l22,l11,l12,canberra1,canberra2,chebyshev1,chebyshev2,correlation1,correlation2,DISH
102,75.608,24.392,440.762,255.928,2248.626,739.26,66.215,33.785,718.381,460.21,2613.408,1187.23,1.613,5,Day 1-100K,1,100K,0.62,Low,4.166578,5.524612,-4.4598002,-5.4239616,-4.4598002,-5.4239616,-2.3349583,-6.0031686,-3.036484,-5.719934,4.445144,1.2737148,3.464432,-2.0922246,1
170,75.295,24.705,479.825,246.826,2256.535,741.805,64.349,35.651,761.336,476.874,2734.932,1277.986,1.601,5,Day 1-100K,1,100K,0.62,Low,4.5820627,6.169065,-4.8623457,-5.846919,-4.8623457,-5.846919,-2.714979,-6.843965,-3.96953,-5.9749174,4.3012204,1.2140386,3.8164675,-2.3745515,1
166,73.521,26.479,612.469,251.033,2273.475,787.744,59.625,40.375,962.816,459.607,2685.262,1362.264,1.552,5,Day 1-100K,1,100K,0.62,Low,4.585856,6.7398515,-4.7843003,-6.4520874,-4.7843003,-6.4520874,-2.5343034,-7.37386,-3.8709013,-6.565799,4.319894,0.93622327,4.144958,-2.39453,1
174,76.793,23.207,244,254.553,2070.518,673.298,71.426,28.574,393.469,395.43,2488.783,990.201,1.548,2,Day 1-100K,1,100K,0.62,Low,3.609027,1.9790136,-3.779963,-1.7390802,-3.779963,-1.7390802,-2.51003,-2.0702116,-6.1720543,3.1949253,4.5073175,3.5269573,1.9761992,-0.77808404,1
20,74.756,25.244,475.14,248.05,2211.908,742.84,65.65,34.35,724.756,425.136,2535.68,1145.989,1.528,5,Day 1-100K,1,100K,0.62,Low,4.3870354,5.409171,-4.6292195,-4.9934087,-4.6292195,-4.9934087,-2.454153,-5.6403165,-3.1858182,-5.4833264,4.176622,1.921089,3.3373923,-2.3605578,1
165,73.33,26.67,543.672,228.718,2156.918,741.411,62.062,37.938,824.705,436.841,2650.835,1283.658,1.522,5,Day 1-100K,1,100K,0.62,Low,4.668297,6.5276637,-4.9886837,-6.1453123,-4.9886837,-6.1453123,-2.602704,-7.161333,-4.044062,-6.2885385,4.4296575,1.1320361,4.041928,-2.4267142,1
107,73.428,26.572,637.5,242.949,2258.193,778.978,66.419,33.581,888.726,467.476,2668.409,1211.19,1.519,5,Day 1-100K,1,100K,0.62,Low,4.717389,5.756567,-4.81494,-5.429598,-4.81494,-5.429598,-2.37241,-6.1065884,-3.412773,-5.959667,3.9688,1.7151853,3.5391786,-3.0335155,1
113,73.01,26.99,566.064,223.458,2208.594,759.284,64.145,35.855,860.979,507.105,2552.509,1237.662,1.507,5,Day 1-100K,1,100K,0.62,Low,4.6011786,6.1947536,-4.9370337,-5.8544297,-4.9370337,-5.8544297,-2.506668,-6.760608,-3.811458,-6.1249127,4.261645,1.180062,3.650854,-2.5213566,1
150,73.484,26.516,546.333,281.458,2303.75,816.234,62.32,37.681,815.028,428.216,2646.311,1264.489,1.501,5,Day 1-100K,1,100K,0.62,Low,4.380306,6.4735327,-4.699768,-6.2403092,-4.699768,-6.2403092,-2.278818,-7.1734805,-3.409311,-6.6669374,4.1174645,1.3446523,3.7910054,-2.4695182,1
103,74.158,25.842,555.33,230.238,2181.165,732.08,63.823,36.177,787.283,447.84,2674.307,1254.693,1.492,5,Day 1-100K,1,100K,0.62,Low,4.7476573,6.1853714,-5.0544415,-5.877526,-5.0544415,-5.877526,-2.77622,-6.8834314,-3.9985285,-6.038821,4.336352,1.2971509,3.9804513,-2.497937,1
148,72.815,27.185,455.034,276.789,2295.742,824.18,65.929,34.071,685.586,423.416,2563.304,1152.222,1.488,5,Day 1-100K,1,100K,0.62,Low,3.9328494,5.1947227,-4.220107,-5.192338,-4.220107,-5.192338,-1.9338847,-5.628371,-2.6875281,-5.589842,3.792071,1.7265043,2.8963542,-1.8947862,1
106,75.423,24.577,341.679,263.342,2246.459,747.26,65.901,34.099,495.643,428.568,2425.902,1097.396,1.466,5,Day 1-100K,1,100K,0.62,Low,3.5611448,4.189381,-4.036414,-3.764801,-4.036414,-3.764801,-2.4636405,-4.440517,-1.6171736,-4.3557987,4.1801963,2.6664505,2.9830725,-1.7773947,1
61,72.967,27.033,398.211,242.544,2246.509,779.858,67.074,32.926,580.605,460.569,2712.415,1199.391,1.459,5,Day 1-100K,1,100K,0.62,Low,3.2109094,4.7974944,-3.461769,-4.381296,-3.461769,-4.381296,-1.7664486,-5.2723937,-1.9824123,-5.669269,3.4927936,1.6585326,3.242431,3.296702,1
124,73.175,26.825,501.57,248.215,2211.382,773.015,65.912,34.088,729.554,444.697,2664.685,1202.393,1.454,5,Day 1-100K,1,100K,0.62,Low,4.4798374,5.600835,-4.6903076,-5.180769,-4.6903076,-5.180769,-2.4502342,-6.1354747,-3.4382188,-5.7802334,4.1592417,1.7417965,3.2083433,-2.4540434,1
93,72.973,27.027,510.306,227.388,2219.864,765.034,64.378,35.622,729.009,464.429,2594.714,1222.847,1.446,5,Day 1-100K,1,100K,0.62,Low,4.5539055,5.946274,-4.8676453,-5.603964,-4.8676453,-5.603964,-2.554706,-6.615502,-3.6942446,-5.8658338,4.1266956,1.6212758,3.5669477,-2.5349746,1
